"File Name","File Size","File Type","Created","Resolution","Dimensions","Encoding","Data Rate","Duration","Compression","Path Name","Disk Name"
"med-hp_community.gif","146.9 KB","GIFf","9/7/2017 1:55:58 PM","96","650 x 488","GIF","-","-","1:2","R:\hosts\webcast.mit.edu\fall2017\engine\1738\med-hp_community.gif","R:"
"hp_community.jpg","1.1 MB","JPEG","9/7/2017 1:43:33 PM","72","2000 x 1502","Photo - JPEG","-","-","1:7","R:\hosts\webcast.mit.edu\fall2017\engine\1738\hp_community.jpg","R:"
"med-hp_community.jpg","568.8 KB","JPEG","9/7/2017 1:45:11 PM","72","1300 x 976","Photo - JPEG","-","-","1:6","R:\hosts\webcast.mit.edu\fall2017\engine\1738\med-hp_community.jpg","R:"
"32X32.gif","117 bytes","GIFf","5/9/2016 9:48:10 PM","96","32 x 32","GIF","-","-","1:8","R:\hosts\webcast.mit.edu\fall2017\engine\1738\32X32.gif","R:"
"13.png","318.2 KB","PNG ","8/25/2017 1:30:16 PM","72","448 x 171","PNG","-","-","1:1","R:\hosts\webcast.mit.edu\fall2017\engine\1738\13.png","R:"
"14.png","722.6 KB","PNG ","9/7/2017 12:10:08 PM","72","600 x 300","PNG","-","-","1:1","R:\hosts\webcast.mit.edu\fall2017\engine\1738\14.png","R:"
"index.html","3.5 KB","HTML","9/8/2017 7:30:49 AM","-","-","DOS","-","-","-","R:\hosts\webcast.mit.edu\fall2017\engine\1738\index.html","R:"
"MIT-Doctoral-Hooding-02 (1).jpg","205.2 KB","JPEG","6/20/2017 12:53:59 PM","96","948 x 632","Photo - JPEG","-","-","1:8","R:\hosts\webcast.mit.edu\fall2017\engine\1738\MIT-Doctoral-Hooding-02 (1).jpg","R:"
"12.860^2018f^L01^WHOI20170907.mp4","981.6 MB","MP4 ","9/8/2017 10:30:10 AM","72","1920 x 540","mp4a","243.6 KB/sec","01:08:31","1:52","R:\hosts\webcast.mit.edu\fall2017\12.860\embed\vod\12.860^2018f^L01^WHOI20170907.mp4","R:"
"12.860.html","881 bytes","HTML","9/6/2017 4:09:22 PM","-","-","DOS","-","-","-","R:\hosts\webcast.mit.edu\fall2017\12.860\embed\12.860.html","R:"
"index.html","9 KB","HTML","9/6/2017 4:19:30 PM","-","-","DOS","-","-","-","R:\hosts\webcast.mit.edu\fall2017\12.860\index.html","R:"
"homepage.psd","115.8 KB","PSD ","8/18/2016 11:04:06 AM","72","1034 x 104","Planar RGB","-","-","1:10","R:\hosts\webcast.mit.edu\fall2017\14.02\images\homepage.psd","R:"
"homepage.jpg","240 KB","JPEG","8/18/2016 10:41:48 AM","72","720 x 405","Photo - JPEG","-","-","1:3","R:\hosts\webcast.mit.edu\fall2017\14.02\images\homepage.jpg","R:"
